Marker,Timestamp_samples,Epoch
REM1,38643,6
REM1,39196,6
REM1,39404,6
REM1,40046,6
REM1,40725,6
REM1,42095,6
REM1,41424,6
REM1,56566,8
REM1,57241,8
REM1,57887,8
REM1,58547,8
REM1,59263,8
S1,561718,75
S1,550029,74
S1,548416,74
K1,567354,76
S1,567596,76
K1,574316,77
S1,580499,78
K1,584923,78
A1,590101,79
Son1,594802,80
S1,604128,81
S1,607353,81
S1,608115,82
S1,610962,82
MS1,312688,42
Soff1,314855,42
Son1,419404,56
MS1,304814,41
Soff1,306880,41
MS1,397071,53
Soff1,397951,54
Son1,329931,44
A1,362441,49
Son1,364004,49
A1,375040,51
Son1,380902,51
Soff1,390819,53
Soff1,427227,57
MS1,475787,64
Soff1,477120,64
MS1,465974,63
Soff1,468580,63
Son1,488736,66
S1,530213,71
S1,533848,72
S1,597623,80
S1,604447,81
S1,610379,82
S1,609627,82
S1,616124,83
S1,627782,84
S1,628625,84
K0,626225,84
K1,635429,85
S0,633154,85
S0,636661,85
S1,638008,86
S1,644646,86
S1,647986,87
S1,657541,88
S1,666981,89
S1,673390,90
K1,676896,91
K1,695704,93
K1,693178,93
S1,719559,96
K1,714107,96
K1,721320,97
K1,724992,97
K1,726076,97
K1,735230,99
K1,744403,100
K1,748226,100
K1,749149,100
K1,751376,101
K1,751655,101
K1,751960,101
K1,753642,101
K1,753888,101
K1,754100,101
K1,761466,102
K1,765509,103
K1,767141,103
K0,770351,103
K1,775158,104
K1,775382,104
K1,777387,104
K1,778426,104
K1,779810,104
K1,784179,105
K1,785380,105
K1,796853,107
K0,816325,109
K1,816706,109
K0,826167,111
K1,826782,111
K1,850785,114
S1,1075390,144
S1,1113033,149
K1,1232297,165
K1,1235775,165
K0,1242639,166
S1,1248520,167
S1,1257284,168
S1,1258331,168
S1,1262411,169
K1,1266643,169
A1,1266807,169
Son1,1269895,170
K1,1275512,171
K0,1278274,171
K1,1285403,172
S0,1297191,173
K1,1328008,178
K1,1328217,178
S1,1330265,178
K1,1343457,180
A1,1343785,180
Son1,1354968,181
K0,1366708,183
S1,1367659,183
K1,1379330,184
K1,1384157,185
S1,1397598,187
S1,1398044,187
K1,1401660,187
K1,1404925,188
K0,1414320,189
K1,1420834,190
K1,1417615,190
S1,1425685,191
A1,1429192,191
Son1,1432646,192
K0,1437588,192
A1,1437835,192
Son1,1440577,193
K1,1442772,193
S1,1443297,193
S0,1444696,193
S1,1450431,194
S1,1447554,194
S0,1454744,194
S1,1456460,195
K1,1455498,195
K0,1458474,195
K1,1461008,195
K1,1463709,196
S1,1467448,196
S1,1471903,197
K1,1476927,197
S1,1475623,197
K1,1477596,198
K1,1481520,198
K1,1483357,198
K1,1485929,199
K1,1487177,199
K1,1487319,199
S1,1491133,199
K1,1495404,200
K1,1498602,200
K0,1501683,201
S1,1501346,201
S1,1510791,202
REM1,1520723,203
REM1,1522976,204
K1,1542746,206
REM1,1554182,208
A1,1564553,209
Son1,1570047,210
K0,1584648,212
K1,1585360,212
K1,1688632,226
S1,1690732,226
REM1,1620528,217
REM1,1624105,217
REM1,1624205,217
REM0,1623742,217
REM1,1633036,218
REM1,1629442,218
REM1,1630371,218
REM1,1633901,218
REM1,1636048,219
REM1,1635258,219
REM0,1637897,219
A1,1662874,222
Son1,1669131,223
S1,1697622,227
K1,1696989,227
S1,1703501,228
S1,1704955,228
S1,1709477,228
K1,1713996,229
S1,1712385,229
K1,1721412,230
K0,1723201,230
S1,1717927,230
S1,1729574,231
S1,1736173,232
K0,1736499,232
S1,1739293,232
K1,1741531,233
S1,1746345,233
S1,1752204,234
S1,1748741,234
S1,1749408,234
S1,1778605,238
S1,1759234,235
S1,1756930,235
K0,1776190,237
S1,1770507,237
S1,1796098,240
S1,1799890,240
K1,1802144,241
K1,1804446,241
S0,1805416,241
S1,1797737,240
K0,1810880,242
S1,1809263,242
K1,1819674,243
A1,1815111,243
Son1,1817930,243
Soff1,1821644,243
K0,1836725,245
A1,1842589,246
Son1,1845434,247
K0,1849270,247
K0,1859189,248
S1,1854353,248
S1,1867767,250
S1,1875214,251
K1,1893733,253
K0,1900308,254
K0,1903657,254
K0,1909512,255
S1,1911931,255
S0,1918230,256
S0,1924517,257
K0,1921077,257
K0,1924149,257
S0,1926037,257
S1,1930656,258
S1,1942262,259
S1,1941180,259
K1,1945344,260
K1,1950928,261
S1,1954239,261
K1,1956392,261
S1,1969897,263
K1,1986414,265
K1,1985948,265
K1,2034279,272
K1,2007267,268
S1,2040091,273
S1,2042740,273
K0,2021097,270
